id;frage;antwort;gelesen
1;achtzehn_plus_frage_1;achtzehn_plus_antwort_1;0
2;achtzehn_plus_frage_2;achtzehn_plus_antwort_2;0
3;achtzehn_plus_frage_3;achtzehn_plus_antwort_3;0
4;achtzehn_plus_frage_4;achtzehn_plus_antwort_4;0
5;achtzehn_plus_frage_5;achtzehn_plus_antwort_5;0
6;achtzehn_plus_frage_6;achtzehn_plus_antwort_6;0
7;achtzehn_plus_frage_7;achtzehn_plus_antwort_7;0
8;achtzehn_plus_frage_8;achtzehn_plus_antwort_8;0
9;achtzehn_plus_frage_9;achtzehn_plus_antwort_9;0
10;achtzehn_plus_frage_10;achtzehn_plus_antwort_10;0
11;achtzehn_plus_frage_11;achtzehn_plus_antwort_11;0
12;achtzehn_plus_frage_12;achtzehn_plus_antwort_12;0
13;achtzehn_plus_frage_13;achtzehn_plus_antwort_13;0
14;achtzehn_plus_frage_14;achtzehn_plus_antwort_14;0
15;achtzehn_plus_frage_15;achtzehn_plus_antwort_15;0
16;achtzehn_plus_frage_16;achtzehn_plus_antwort_16;0
17;achtzehn_plus_frage_17;achtzehn_plus_antwort_17;0
18;achtzehn_plus_frage_18;achtzehn_plus_antwort_18;0
19;achtzehn_plus_frage_19;achtzehn_plus_antwort_19;0
20;achtzehn_plus_frage_20;achtzehn_plus_antwort_20;0
21;achtzehn_plus_frage_21;achtzehn_plus_antwort_21;0
22;achtzehn_plus_frage_22;achtzehn_plus_antwort_22;0
23;achtzehn_plus_frage_23;achtzehn_plus_antwort_23;0
24;achtzehn_plus_frage_24;achtzehn_plus_antwort_24;0
25;achtzehn_plus_frage_25;achtzehn_plus_antwort_25;0
26;achtzehn_plus_frage_26;achtzehn_plus_antwort_26;0
