id;frage;antwort;gelesen
1;geographie_frage_1;geographie_antwort_1;0
2;geographie_frage_2;geographie_antwort_2;0
3;geographie_frage_3;geographie_antwort_3;0
4;geographie_frage_4;geographie_antwort_4;0
5;geographie_frage_5;geographie_antwort_5;0
6;geographie_frage_6;geographie_antwort_6;0
7;geographie_frage_7;geographie_antwort_7;0
8;geographie_frage_8;geographie_antwort_8;0
9;geographie_frage_9;geographie_antwort_9;0
10;geographie_frage_10;geographie_antwort_10;0
11;geographie_frage_11;geographie_antwort_11;0
12;geographie_frage_12;geographie_antwort_12;0
13;geographie_frage_13;geographie_antwort_13;0
14;geographie_frage_14;geographie_antwort_14;0
15;geographie_frage_15;geographie_antwort_15;0
16;geographie_frage_16;geographie_antwort_16;0
17;geographie_frage_17;geographie_antwort_17;0
18;geographie_frage_18;geographie_antwort_18;0
19;geographie_frage_19;geographie_antwort_19;0
20;geographie_frage_20;geographie_antwort_20;0
21;geographie_frage_21;geographie_antwort_21;0
22;geographie_frage_22;geographie_antwort_22;0
23;geographie_frage_23;geographie_antwort_23;0
24;geographie_frage_24;geographie_antwort_24;0
25;geographie_frage_25;geographie_antwort_25;0
26;geographie_frage_26;geographie_antwort_26;0
