id;frage;antwort;gelesen
1;geschichte_frage_1;geschichte_antwort_1;0
2;geschichte_frage_2;geschichte_antwort_2;0
3;geschichte_frage_3;geschichte_antwort_3;0
4;geschichte_frage_4;geschichte_antwort_4;0
5;geschichte_frage_5;geschichte_antwort_5;0
6;geschichte_frage_6;geschichte_antwort_6;0
7;geschichte_frage_7;geschichte_antwort_7;0
8;geschichte_frage_8;geschichte_antwort_8;0
9;geschichte_frage_9;geschichte_antwort_9;0
10;geschichte_frage_10;geschichte_antwort_10;0
11;geschichte_frage_11;geschichte_antwort_11;0
12;geschichte_frage_12;geschichte_antwort_12;0
13;geschichte_frage_13;geschichte_antwort_13;0
14;geschichte_frage_14;geschichte_antwort_14;0
15;geschichte_frage_15;geschichte_antwort_15;0
16;geschichte_frage_16;geschichte_antwort_16;0
17;geschichte_frage_17;geschichte_antwort_17;0
18;geschichte_frage_18;geschichte_antwort_18;0
19;geschichte_frage_19;geschichte_antwort_19;0
20;geschichte_frage_20;geschichte_antwort_20;0
21;geschichte_frage_21;geschichte_antwort_21;0
22;geschichte_frage_22;geschichte_antwort_22;0
23;geschichte_frage_23;geschichte_antwort_23;0
24;geschichte_frage_24;geschichte_antwort_24;0
25;geschichte_frage_25;geschichte_antwort_25;0
26;geschichte_frage_26;geschichte_antwort_26;0
