id;frage;antwort;gelesen
1;google_frage_1;google_antwort_1;0
2;google_frage_2;google_antwort_2;0
3;google_frage_3;google_antwort_3;0
4;google_frage_4;google_antwort_4;0
5;google_frage_5;google_antwort_5;0
6;google_frage_6;google_antwort_6;0
7;google_frage_7;google_antwort_7;0
8;google_frage_8;google_antwort_8;0
9;google_frage_9;google_antwort_9;0
10;google_frage_10;google_antwort_10;0
11;google_frage_11;google_antwort_11;0
12;google_frage_12;google_antwort_12;0
13;google_frage_13;google_antwort_13;0
14;google_frage_14;google_antwort_14;0
15;google_frage_15;google_antwort_15;0
16;google_frage_16;google_antwort_16;0
17;google_frage_17;google_antwort_17;0
18;google_frage_18;google_antwort_18;0
19;google_frage_19;google_antwort_19;0
20;google_frage_20;google_antwort_20;0
21;google_frage_21;google_antwort_21;0
22;google_frage_22;google_antwort_22;0
23;google_frage_23;google_antwort_23;0
24;google_frage_24;google_antwort_24;0
25;google_frage_25;google_antwort_25;0
