id;frage;antwort;gelesen
1;medien_frage_1;medien_antwort_1;0
2;medien_frage_2;medien_antwort_2;0
3;medien_frage_3;medien_antwort_3;0
4;medien_frage_4;medien_antwort_4;0
5;medien_frage_5;medien_antwort_5;0
6;medien_frage_6;medien_antwort_6;0
7;medien_frage_7;medien_antwort_7;0
8;medien_frage_8;medien_antwort_8;0
9;medien_frage_9;medien_antwort_9;0
10;medien_frage_10;medien_antwort_10;0
11;medien_frage_11;medien_antwort_11;0
12;medien_frage_12;medien_antwort_12;0
13;medien_frage_13;medien_antwort_13;0
14;medien_frage_14;medien_antwort_14;0
15;medien_frage_15;medien_antwort_15;0
16;medien_frage_16;medien_antwort_16;0
17;medien_frage_17;medien_antwort_17;0
18;medien_frage_18;medien_antwort_18;0
19;medien_frage_19;medien_antwort_19;0
20;medien_frage_20;medien_antwort_20;0
21;medien_frage_21;medien_antwort_21;0
22;medien_frage_22;medien_antwort_22;0
23;medien_frage_23;medien_antwort_23;0
24;medien_frage_24;medien_antwort_24;0
25;medien_frage_25;medien_antwort_25;0
26;medien_frage_26;medien_antwort_26;0
