id;frage;antwort;gelesen
1;mensch_frage_1;mensch_antwort_1;0
2;mensch_frage_2;mensch_antwort_2;0
3;mensch_frage_3;mensch_antwort_3;0
4;mensch_frage_4;mensch_antwort_4;0
5;mensch_frage_5;mensch_antwort_5;0
6;mensch_frage_6;mensch_antwort_6;0
7;mensch_frage_7;mensch_antwort_7;0
8;mensch_frage_8;mensch_antwort_8;0
9;mensch_frage_9;mensch_antwort_9;0
10;mensch_frage_10;mensch_antwort_10;0
11;mensch_frage_11;mensch_antwort_11;0
12;mensch_frage_12;mensch_antwort_12;0
13;mensch_frage_13;mensch_antwort_13;0
14;mensch_frage_14;mensch_antwort_14;0
15;mensch_frage_15;mensch_antwort_15;0
16;mensch_frage_16;mensch_antwort_16;0
17;mensch_frage_17;mensch_antwort_17;0
18;mensch_frage_18;mensch_antwort_18;0
19;mensch_frage_19;mensch_antwort_19;0
20;mensch_frage_20;mensch_antwort_20;0
21;mensch_frage_21;mensch_antwort_21;0
22;mensch_frage_22;mensch_antwort_22;0
23;mensch_frage_23;mensch_antwort_23;0
24;mensch_frage_24;mensch_antwort_24;0
25;mensch_frage_25;mensch_antwort_25;0
26;mensch_frage_26;mensch_antwort_26;0
