id;frage;antwort;gelesen
1;natur_frage_1;natur_antwort_1;0
2;natur_frage_2;natur_antwort_2;0
3;natur_frage_3;natur_antwort_3;0
4;natur_frage_4;natur_antwort_4;0
5;natur_frage_5;natur_antwort_5;0
6;natur_frage_6;natur_antwort_6;0
7;natur_frage_7;natur_antwort_7;0
8;natur_frage_8;natur_antwort_8;0
9;natur_frage_9;natur_antwort_9;0
10;natur_frage_10;natur_antwort_10;0
11;natur_frage_11;natur_antwort_11;0
12;natur_frage_12;natur_antwort_12;0
13;natur_frage_13;natur_antwort_13;0
14;natur_frage_14;natur_antwort_14;0
15;natur_frage_15;natur_antwort_15;0
16;natur_frage_16;natur_antwort_16;0
17;natur_frage_17;natur_antwort_17;0
18;natur_frage_18;natur_antwort_18;0
19;natur_frage_19;natur_antwort_19;0
20;natur_frage_20;natur_antwort_20;0
21;natur_frage_21;natur_antwort_21;0
22;natur_frage_22;natur_antwort_22;0
23;natur_frage_23;natur_antwort_23;0
24;natur_frage_24;natur_antwort_24;0
25;natur_frage_25;natur_antwort_25;0
26;natur_frage_26;natur_antwort_26;0
