id;frage;antwort;gelesen
1;preise_frage_1;preise_antwort_1;0
2;preise_frage_2;preise_antwort_2;0
3;preise_frage_3;preise_antwort_3;0
4;preise_frage_4;preise_antwort_4;0
5;preise_frage_5;preise_antwort_5;0
6;preise_frage_6;preise_antwort_6;0
7;preise_frage_7;preise_antwort_7;0
8;preise_frage_8;preise_antwort_8;0
9;preise_frage_9;preise_antwort_9;0
10;preise_frage_10;preise_antwort_10;0
11;preise_frage_11;preise_antwort_11;0
12;preise_frage_12;preise_antwort_12;0
13;preise_frage_13;preise_antwort_13;0
14;preise_frage_14;preise_antwort_14;0
15;preise_frage_15;preise_antwort_15;0
16;preise_frage_16;preise_antwort_16;0
17;preise_frage_17;preise_antwort_17;0
18;preise_frage_18;preise_antwort_18;0
19;preise_frage_19;preise_antwort_19;0
20;preise_frage_20;preise_antwort_20;0
21;preise_frage_21;preise_antwort_21;0
22;preise_frage_22;preise_antwort_22;0
23;preise_frage_23;preise_antwort_23;0
24;preise_frage_24;preise_antwort_24;0
25;preise_frage_25;preise_antwort_25;0
26;preise_frage_26;preise_antwort_26;0
27;preise_frage_27;preise_antwort_27;0
