id;frage;antwort;gelesen
1;sport_frage_1;sport_antwort_1;0
2;sport_frage_2;sport_antwort_2;0
3;sport_frage_3;sport_antwort_3;0
4;sport_frage_4;sport_antwort_4;0
5;sport_frage_5;sport_antwort_5;0
6;sport_frage_6;sport_antwort_6;0
7;sport_frage_7;sport_antwort_7;0
8;sport_frage_8;sport_antwort_8;0
9;sport_frage_9;sport_antwort_9;0
10;sport_frage_10;sport_antwort_10;0
11;sport_frage_11;sport_antwort_11;0
12;sport_frage_12;sport_antwort_12;0
13;sport_frage_13;sport_antwort_13;0
14;sport_frage_14;sport_antwort_14;0
15;sport_frage_15;sport_antwort_15;0
16;sport_frage_16;sport_antwort_16;0
17;sport_frage_17;sport_antwort_17;0
18;sport_frage_18;sport_antwort_18;0
19;sport_frage_19;sport_antwort_19;0
20;sport_frage_20;sport_antwort_20;0
21;sport_frage_21;sport_antwort_21;0
22;sport_frage_22;sport_antwort_22;0
23;sport_frage_23;sport_antwort_23;0
24;sport_frage_24;sport_antwort_24;0
25;sport_frage_25;sport_antwort_25;0
26;sport_frage_26;sport_antwort_26;0
27;sport_frage_27;sport_antwort_27;0
