id;frage;antwort;gelesen
1;technik_frage_1;technik_antwort_1;0
2;technik_frage_2;technik_antwort_2;0
3;technik_frage_3;technik_antwort_3;0
4;technik_frage_4;technik_antwort_4;0
5;technik_frage_5;technik_antwort_5;0
6;technik_frage_6;technik_antwort_6;0
7;technik_frage_7;technik_antwort_7;0
8;technik_frage_8;technik_antwort_8;0
9;technik_frage_9;technik_antwort_9;0
10;technik_frage_10;technik_antwort_10;0
11;technik_frage_11;technik_antwort_11;0
12;technik_frage_12;technik_antwort_12;0
13;technik_frage_13;technik_antwort_13;0
14;technik_frage_14;technik_antwort_14;0
15;technik_frage_15;technik_antwort_15;0
16;technik_frage_16;technik_antwort_16;0
17;technik_frage_17;technik_antwort_17;0
18;technik_frage_18;technik_antwort_18;0
19;technik_frage_19;technik_antwort_19;0
20;technik_frage_20;technik_antwort_20;0
21;technik_frage_21;technik_antwort_21;0
22;technik_frage_22;technik_antwort_22;0
23;technik_frage_23;technik_antwort_23;0
24;technik_frage_24;technik_antwort_24;0
25;technik_frage_25;technik_antwort_25;0
26;technik_frage_26;technik_antwort_26;0
