id;frage;antwort;gelesen
1;weltall_frage_1;weltall_antwort_1;0
2;weltall_frage_2;weltall_antwort_2;0
3;weltall_frage_3;weltall_antwort_3;0
4;weltall_frage_4;weltall_antwort_4;0
5;weltall_frage_5;weltall_antwort_5;0
6;weltall_frage_6;weltall_antwort_6;0
7;weltall_frage_7;weltall_antwort_7;0
8;weltall_frage_8;weltall_antwort_8;0
9;weltall_frage_9;weltall_antwort_9;0
10;weltall_frage_10;weltall_antwort_10;0
11;weltall_frage_11;weltall_antwort_11;0
12;weltall_frage_12;weltall_antwort_12;0
13;weltall_frage_13;weltall_antwort_13;0
14;weltall_frage_14;weltall_antwort_14;0
15;weltall_frage_15;weltall_antwort_15;0
16;weltall_frage_16;weltall_antwort_16;0
17;weltall_frage_17;weltall_antwort_17;0
18;weltall_frage_18;weltall_antwort_18;0
19;weltall_frage_19;weltall_antwort_19;0
20;weltall_frage_20;weltall_antwort_20;0
21;weltall_frage_21;weltall_antwort_21;0
22;weltall_frage_22;weltall_antwort_22;0
23;weltall_frage_23;weltall_antwort_23;0
24;weltall_frage_24;weltall_antwort_24;0
25;weltall_frage_25;weltall_antwort_25;0
26;weltall_frage_26;weltall_antwort_26;0
27;weltall_frage_27;weltall_antwort_27;0
